ID,Thought,Distortion,Distortion_ID
447,"This spread beyond the horror genre, to the point I completely stopped watching movies or shows and playing games, or really indulging in anything, that featured violence or death in any way.",All-or-Nothing Thinking,1
448,"Basically, like the title suggests, I’m afraid my depression is a personality and that there’s no hope for recovery.",Fortune Telling,4
449,"I went from so happy with this guy to absolutely dreading the mention of his name, I don’t want to see him anymore and every time he talks to me or texts me I feel nauseous.  The last three relationships I was pretty much obsessed with these guys and then like a flip of a switch I become depressed and I developed a hatred towards them. However, once I break up with them it’s like nothing ever happened and I instantly feel refreshed and back to normal.",All-or-Nothing Thinking,1
450,I feel like these experiences for David have traumatized him where he is always bringing himself down for every little thing he does. I feel like anything I say will make him feel bad about himself for the next few months.,Mind Reading,5
451,"I feel attached to the girl but if I see another girl, I like I can’t keep myself from asking her number, messaging her etc",Emotional Reasoning,6
452,I believe that her home life worsens her condition.  She has so much potential. She is so intelligent- possibly the most intelligent person I know.,Mind Reading,5
453,"I can’t stop these thoughts. I feel that I’m losing my mind.  Now I can’t think about any other things, except harming thoughts.",Catastrophizing,10
454,"I broke up with my boyfriend about 3 months ago (about a month after school started), and ever since then, I feel very awkward when talking to anyone besides the people I have known for two years.  I am theorizing that breaking up with him has done something to my conscience, but I’m not entirely sure why.",Personalizing,8
455,"I overcame depression years ago, but even without it I’m pretty much an introverted person, who has never been emotionally stabile and I feel like my boyfriend is using this against me.",Mind Reading,5
456,"I thought I had a passion for other jobs that I’ve had in life, but it turned out I don’t.",All-or-Nothing Thinking,1
457,i had anxiety and fears of getting schizophrenia the whole time for 12 hours. this happened about 7 months ago. ever since then iv had to quit weed because it gave me panic attacks.,Overgeneralizing,2
458,I ALWAYS have to apologize when I do something wrong and they don’t.,Overgeneralizing,2
459,"Recently, I have been worried about one day going insane and not being able to control it.",Fortune Telling,4
460,"I’m struggling to do anything at all, all I really want to do is sit somewhere on my own and rot away forever.",Catastrophizing,10
461,"I’m now 24 and nothing I’ve to do with my life. When I get up –think to do take a step for my career or anything, I feel fear–; the fear of nothing I don’t know where this fear in came from and why I feared a lot Every time…my all day went like this.",Emotional Reasoning,6
462,I feel so alone and I’ve not been able to wrangle it no matter how bad it is. I feel very alone I reach out to people but they don’t seem to realize that support is one of the main cornerstones in life.,Personalizing,8
463,I couldn’t help then and now to feel how taboo this is and that I am wrong in doing it…,Labeling,3
464,Now I’m fat I do everything but I can lose some weight everyday my weight is changing. I can’t focus on my study also I don’t have a desire to know new people. please help me because now I can’t even going to cinema I scared to know anyone because I can’t speak.,Disqualifying the Positive,9
465,"She is trying to replace me, and I don’t know how to deal with this.",Mind Reading,5
466,It’s becoming an almost nightly occurrence that we’ll have several hours of him lashing out at me and me basically taking it and feeling worse and worse about myself or more and more resentful of him.,Personalizing,8
467,I feel like nothing will ever be better for me and im starting to believe that i am what my mom tells me.,Fortune Telling,4
468,"I see everything in cycles. I hate to fail, I get depressed when i fail, and then fail more as a consequence.",Catastrophizing,10
469,"People find me smart, but I find myself stupid.",Labeling,3
470,He is a brilliant and completely selfless person who simply does what he has to do to get by.,Labeling,3
471,I guess I didn’t really plan for it or think about how it might affect me.,Personalizing,8
472,"I feel that I am not enjoying my life, I am filled with regrets, have social anxiety and probably aspergers and let my low self esteem pull me down and feel I wasted my 20s.",Emotional Reasoning,6
473,"But right away it was difficult, verbally abusive in my eyes and I have allowed terrible behavior from him. He has been cheated on the past but I wonder if they cheated because of his jealous nature.",Personalizing,8
474,I worry about every little thing and i feel so depressed because of things that haven’t even happened.,Disqualifying the Positive,9
475,"I feel like it’s a natural cycle and while I’m feeling “happy”, I feel like it’s fake happiness. I feel like I miss being depressed. Like I lost my comforting best friend by taking this medication.",Emotional Reasoning,6
476,They neither helped us but it seemed were only there to criticize us.,Overgeneralizing,2
477,I know that I’m intelligent but I don’t know if I’m too intellegent or just an idiotic narcissist.,Labeling,3
478,She’s trying to justify her lack of action with the potential effect that leaving his dad may have on him.,Mind Reading,5
479,Its not at all my intention to do so and it’s really frustrating cause I feel like what I actually wanna say and what it comes out gets lost in translation from my thoughts to my speech.,Emotional Reasoning,6
480,"He has terrible temper issues, any simple thing which is not as per his expectation causes him to get seriously mad and as per him he says that he turns into a totally different person, he says things that he doesn’t mean which kind of an emotional abuse to the other person, he does his best to hurt the person in front of him emotionally, and sometimes he hits anything in front of him -not people but things- he even hit his hand in the wall many times.",Mind Reading,5
481,My family is going through basically a break up because of my Aunt.,Personalizing,8
482,"I’m not a normal person.  I’m a boring person.  My voice is drowned out, and the thought of how quiet my voice sounds turns me off from saying anything at all because no one can hear me so people talk over me.",Labeling,3
483,I’m too young to be worrying about my life the way I do.  But i also am angry all the time towards my mother. she grosses me out but i cant control it.,Should Statements,7
484,"And I feel I will never be the type of man she truly adores, not a talented and poetic, famous musician",Mind Reading,5
485,He doesn’t seem to trust others even me or my brother. He seems suspicious of others all the time.,Mind Reading,5
486,"She is constantly saying I’m irresponsible and she makes me feel like I’m always doing something wrong.  And I just recently found out that I may possibly have bulimia and I haven’t told her because she’s only going to “it’s all in your head, you don’t know what you’re talking about” so I always feels as though I can’t talk to her or tell her anything.",Personalizing,8
487,"Due to this I keep questioning whether or not I feel anything at all or why I just can’t experience true, full emotions.",All-or-Nothing Thinking,1
488,"If I don’t find some drastic way to prove I’m sick, I don’t think I’ll get help.",Fortune Telling,4
489,"i get depressed because of it and i say “i wanna die” to my new class mates who are kinda cool, i think they annoyed from me because im not that popular i almost didn’t had friends before that i can talk about life with them, my parents never listen to me and don’t understand me.",Mind Reading,5
490,"I don’t know why he is so put off by sex and my female parts. I know it’s not me. I know that I am fun, kinky, clean and full of passion. There has got to be something that is making him like this, either from a genetic reason or an experience in his life, or both.",Labeling,3
491,"I only took notice of these disturbances when I began ruminating over things I had done in the past, and began convincing myself I was going to be arrested for these things.",Catastrophizing,10
492,"thers, to my friends especially, I appear bright and happy, and they never notice what’s happening to me.",Mind Reading,5
493,I just feel like such a failure and like such a burden on everyone.  I barely have any friends and I never talk to the ones I do have because I feel like they all hate me and think I’m annoying.,Labeling,3
494,"I just can not look at her the same way, I want to scream, tells someone, but I’m afraid she will lie. People will probably believe her over me, because, lately I’ve been going through some trust issues with my dad.",Fortune Telling,4
495,If my parents knew how much I am struggling they will put me in Inpatient and that means no more college and I will lose my scholarship.,Fortune Telling,4
496,I don’t understand what’s wrong with me that makes everyone want to leave. I have a hard time even having any sort of friendship or relationship now because i know they will all eventually leave me also.,Personalizing,8
497,"I have weight and depression issues related to several traumatic events in my life (accidental death of father many years ago, recent violent death of mother, emotional abuse in former marriage). I also have a stressful job that I don’t love. I’ve been further traumatized by the current political situation in our country, I am very political.",Disqualifying the Positive,9
498,"The problem was that i bad at everything, even if i were average, it wasn’t good enough at all.",Labeling,3
499,I knew in my head it was probably best to move on and not return to her.,Should Statements,7
500,I do not enjoy going shopping with him as it always ends up with us arguing.,Overgeneralizing,2
501,They need to be powerless in order for me to succeed in life.,Overgeneralizing,2
502,"It’s helped me be independent and goal-oriented, but sometimes I wonder if it’s also made me a bit selfish and unsuitable for relationships.",Labeling,3
503,Right after my grandmother died I also started pulling out my hair (trichotillmania) so it made me very self-conscious to the point where I thought I was the ugliest person ever which only made it harder to talk to people.,Labeling,3
504,I feel like a useless person.,Labeling,3
505,To me most probable reasons for him proposing me 1. he felt guilty towards me 2. He eventually thought me best suitable out of the proposals he received for marriage and as he knew that I loved him might have thought me to be submissive to him and follow him blindly for whatever he says.,Mind Reading,5
506,I’m really concerned because I know this is abnormal and I’m not living a normal life. I’m worried that I’m insane.,Labeling,3
507,I did not like this action and the moment he did this and looked at me he knew I was pissed.,Mind Reading,5
508,I sometimes say things that didn’t really happen or that I don’t mean. Does this mean that the med has failed?,All-or-Nothing Thinking,1
509,The voices are always with me and they take turns maneuvering the body.,Overgeneralizing,2
510,I haven’t been diagnosed because I’m afraid of telling my family.,Emotional Reasoning,6
511,"I think that I had so severly developed feelings for him, almost on an unconscious level, that I couldn’t bear to believe that he was gay.",Catastrophizing,10
512,"On a side note I was hurt by a male family member as a child in a sexual, physical and emotional manner and I do believe this could be the source but I don’t know for sure.",Overgeneralizing,2
513,"We have noticed that our 4 year old daughter cries for every little thing, and seems to have trouble expressing here self verbally at home and kindergarten.",Overgeneralizing,2
514,I feel I am far too old to be grappling with this at this point in my life.,Should Statements,7
515,"To put it simply, because my mother is extremely insecure she controls both my dad’s and my life and prevents us from enjoying things which aren’t focused around her.  He used to play cricket, go bell-ringing, go running but now he doesn’t have any hobbies and doesn’t have much h time for anything other than work because my mother can’t deal with the pressure of work she hasn’t got a very good job and often will take time off.",Personalizing,8
516,He also has an extremely dark sense of humour and doesn’t really feel emotion (doesn’t feel the need for love and never feels bad for anyone).,Mind Reading,5
517,"I dont know why but I actually started to want to be dead. But i was scared that what if i die and nothing gonna happen like all empytness and black screen but sometimes i thought myself maybe i will go heaven and there is god.  No, i am not going to suicide and never tried that but i kinda feel like it is going to be a traffic accident or someone will kill me.",Fortune Telling,4
518,"I am obsessed with success. If I do not achieve what I hope I will (fame, money, status, etc.) I will feel ashamed and feel like a complete failure.",All-or-Nothing Thinking,1
519,And ive been obssesing her for already three months now and it really cause me an enormous distress and distractions.,Catastrophizing,10
520,"This fear led me to pay an obsessive amount of attention to my weird thoughts, which led to further analysis of how I truly believed that I was going crazy.",Catastrophizing,10
521,i feel dizzy everyday and want to vomit nearly everyday.,Overgeneralizing,2
522,If this goes on it might be too late before I even realize it and I do not want this to happen.,Fortune Telling,4
523,"It seems to have come to pass that I have lost all ability to feel emotions, other than a certain amount of anxiety and self loathing.",Overgeneralizing,2
524,"Since then i have gone through massive lows and massive highs. Sometimes i am hyperactive and super happy, then a few days later i will collapse in a heap.",All-or-Nothing Thinking,1
525,"I always felt dizzy and headache, after I took panadol, I didn’t feel better at all.",Overgeneralizing,2
526,"No matter how much it hurts to wake up every morning and LIVE, they wont let me die. I would be selfish for leaving them like this. But isn’t it selfish from them to make me live although this thing called life suffocates me?",Personalizing,8
527,"We would like to take him to his teacher tomorrow and make him return the items, but fear that he will be socially scarred for life and worse, he may stoop in to do worse things for us exposing him to his freinds",Fortune Telling,4
528,Earlier this year I broke up with my boyfriend that I was with since I was 14. This break up came as a great shock and I went through a lot of pain. Two months later my godson of only 10 months dies. His death hit me hard because he is the first close family member I’ve lost to death. He was my pillar of strength and the reason that I kept going even though I was broken into pieces so when he left everything changed.,Disqualifying the Positive,9
529,I know it’s out of hand and I’m trying to work on it.,Should Statements,7
530,I feel selfish and stupid.,Labeling,3
531,I have also had a few suicide attempts in the past… And lately I keep thinking about them and remembering them.,Disqualifying the Positive,9
532,I fear that I’m in the stages of prodromal psychosis,Emotional Reasoning,6
533,She can’t understand why I’m mad at that and says I’m unforgiving.,Mind Reading,5
534,"I am afraid of being influenced by someone’s opinion, when that person doesn’t like the things that I like. I am afraid that by understanding her/his perspective, I’ll stop enjoying the things that I do enjoy.",Fortune Telling,4
535,I basically feel like I’ve been working out 24/7 even when I’m not.,Overgeneralizing,2
536,"For the 4th and 5th year of my career, I was not treated with respect, there was no sign of appreciation for all of those extra hours I put, or level of reliability despite illness and injury. My was not a nice person, and my manger became even worse to the point where I could no longer ask them questions as I knew the abuse would follow.",Overgeneralizing,2
537,negativity just lingers around more in my head even simple things I know don’t matter.,Disqualifying the Positive,9
538,"Whenever I see him doing something inappropriate (he masturbates with his room door open) or when he yells at me or when he makes a mess of the house, I get so angry that my body vibrates, I clench my fist so tightly that I cut my palms with my fingernails, and I grit my teeth.",Catastrophizing,10
539,I grew up a straight A student but a few things happened 5 years ago and I’m not the same. Anger is the only emotion I can feel deeply everything else feels like a shadow of what I should feel.,All-or-Nothing Thinking,1
540,"In fact, I cut my hair multiple times, not bc I’m Daring as I let people believe, but because the individual hairs touching my skin drive me up a wall. Almost to the point of anger.   I have certain ways every little thing needs to be done and I feel like the world is ending when those systems are disrupted.",Catastrophizing,10
541,"I sometimes love them too much and other times I just can’t stand being around them.  Lately, I have been trying my best to be positive but there’s always something that happens and just simply makes me feel negative again.",All-or-Nothing Thinking,1
542,"It all started with me face-planting to my mom’s breast get a split second turn on. I felt disgusted by myself, wanted to die, thought that I don’t deserve to live or even go to heaven.",Catastrophizing,10
543,My mind is constantly wandering and I can never seem to pay attention to anything. When somebody asks me a question sometimes I know that I know the answer but I just can’t seem to find it and it literally feels like there’s nothing but blur in my head.,Catastrophizing,10
544,So I have no close friends at the moment probably I know some people enough just to say hi but no close one and whenever I make any they go away I don’t know if its my personality the reason or the way I behave and the only friends I can gain are school friends since there is no other place I go to I can’t really stand myself alone.,Personalizing,8
545,My boyfriend has been with more people than I can imagine.,Catastrophizing,10
546,"Right now it feels like hell and like i couldn’t ever forget how i’m feeling right now,It’s only when i think about thinking that i feel strange and anxious.",Catastrophizing,10
547,"I am constantly down on myself never thinking I am good enough.  I am always on a rollercoaster of emotions, I can be having a good time and the simplest thing will bring me down and I am upset the rest of the day.",Overgeneralizing,2
548,"My mother always comments on my appearance or tries to quickly fix small things about how I look– like hair or clothing– even though I constantly ask her not to, and now I hate receiving compliments from her.",Overgeneralizing,2
549,"For example, if someone were to lay their arm on my shoulder I would immediately feel very grossed out and become angry and yell at them to get it off.",Catastrophizing,10
550,I have told my boyfriend i was raped and severely abused as a child and i lie about things i don’t need to lie about. I had a bit of a tough up bringing with a lot of conflict but not as bad as i tell people.,Overgeneralizing,2
551,I can’t talk anymore. I can’t say anything. I can’t give more information. I feel like nothing inside.   I know I could be more positive and I have been – but now I can’t.   Constantly being reminded just makes me feel dumb and worthless and unlovable.,Catastrophizing,10
552,anyways i cant get over it and its making a huge deal and its been 2years like that and i dont know what to do so please help me,Fortune Telling,4
553,"I have tried to stop many times, thinking it was merely a bad habit, but it seems like no matter how hard I try, or how much progress I make, I can’t rid myself of the issue.",Fortune Telling,4
554,"I have periods of rage and depression where I can tell from the moment I wake up that it is going to be a “bad” day. I get overly angry at little things, and pick fights w/my spouse.",Catastrophizing,10
555,"We were never allowed to be sad, or mad, or anything else that wasn’t happy.",Overgeneralizing,2
556,"he company is paying to put him through schoool, and the owner of the company is also my fiances best friend, so if i kick him out, im sure my son would lose his job along with the opportunity to have his schooling paid for.",Fortune Telling,4
557,"I understand that it can never be 50/50, but i just need to at least have some support that when i can’t make it home by 8, he will at least cook dinner and if not that, at least go out and get something for us to eat.",Fortune Telling,4
558,i got a social phobia even though people at my school are trying to befriends with me but i seem to consistency pushing them away.,Mind Reading,5
559,"I feel like I may not have the personality for this to be successful or I’ve made her uncomfortable, but she doesn’t want to push someone seen as vulnerable over the edge, so instead she just turns up late.",Personalizing,8
560,I Lack of apathy and emotional disconnection from everything.,Overgeneralizing,2
561,In short never had any initiative to support herself.,Overgeneralizing,2
562,"My home life is horrible as i have an abusive older sister who i used to be very close with and now my parents always yell at me and call me the abusive one. I have often panic attacks, i vomited recently after a traumatic event and i can never walk away from my technology no matter how hard i try.",Overgeneralizing,2
563,I am dead certain I was born this way and was plagued by emotional/cognitive/social/personality problems all throughout my childhood.,Overgeneralizing,2
564,find it hard to do anything because my mind is consumed with the fear of losing a limb.,Fortune Telling,4
565,I know that I should have spoken to her about that instead of trying to replace my negative feelings of her with positive feelings of providing her pleasure.,Should Statements,7
566,It doenst make any sense because I look great and have no reason to be so sickening jealous of this girl.,Should Statements,7
567,"I’ve kept a journal for years, and in my earliest entries I blamed this on other people. I thought that they didn’t understand me.",Personalizing,8
568,"My aunt seems to have formed a close relationship with him, despite that, and refuses to see him go.",Mind Reading,5
569,briefly my manager at work harassed me so many times and i stood still . not because i’m afraid but just stood and couldn’t say no .  of course i feel like if this happens again i probably pretty much will react the same !,Overgeneralizing,2
570,I just feel like he’s not putting his full effort into our relationship.,Mind Reading,5
571,I have been suffering severe anxiety for almost 8 months now and I have tried everything from changing my diet to meditation to no avail. I was numb for 4 months straight and I have had difficulty breathing for nearly three months straight.,Overgeneralizing,2
572,"They only have attention for her and I feel forgotten, my parents talk about her all the time. My whole life depends on when she has competitions or when she has to practice.",Overgeneralizing,2
573,We have been together for 9 years and during that time I have felt extremely unwanted by his children and it is becoming hard to continue being a part of the family because the three of them frequently make me feel like I do not belong.,Mind Reading,5
574,"As a friend, he was perfect. As a boyfriend, I find myself constantly annoyed and angry with him because I feel like he doesn’t understand me, and he says he feels the same.",Labeling,3
575,"I feel like I am often mentally healthy, then have these bad depressive episodes, or just these mental breakdowns and get self-destructive and feel like I fall down a rabbit hole.",All-or-Nothing Thinking,1
576,I’m looking for advice on how to have a constructive conversation with my conservative Christian parents about the negative effects that my overbearing Christian upbringing has produced and discuss the fact that when/if I do reproduce I do not want this set of beliefs anywhere (at all) around my child until they are grown and can form their own opinions.,Personalizing,8
577,I know on he inside he is a good person.,Labeling,3
578,"but, i don’t think i’m pregnant but i’m scared i am because of the feeling and it’s giving me major anxiety.",Disqualifying the Positive,9
579,I have no space. I am forced to be with him all the time everyday.,Overgeneralizing,2
580,"He has chocked me a few times (not to the point of passing out,) done lots of damage to things and my home, he somewhat kept me from my friends, he always blamed me for everything, and controlled who I talked to via phone or internet.  He wasn’t always this way. He was caring, loving, showed his emotions; made sure I had what I needed.",Overgeneralizing,2
581,"My speculations have mainly arrived through the fact that i have noticed that i am distinctly socially different from everyone else, and often feel nothing when others around me are crying, laughing or chatting.",Overgeneralizing,2
582,"Whenever I see or think about something that makes me stressed, my heart starts racing and I often start hyperventilating. Just this morning, I went to a restaurant and as usual got super stressed that there were no vegan options. Then, the breaking point, I looked up and saw a deer head on the wall and that moment, felt so stressed and sad. I immediately began hyperventilating and my eyes filled with tears.",Catastrophizing,10
583,"So we just are desperate, because we feel that hugging her is not enough to help her be happy again.",Fortune Telling,4
584,My ex does everything she can to not let him play.,Overgeneralizing,2
585,"I hope I can get some kind of answer for where these feelings come from, then maybe I won’t feel so guilty or wonder what exactly is wrong with me.",Personalizing,8
586,"He was never supportive or compassionate, instead he was abusive and cruel.",Overgeneralizing,2
587,I’m afraid I will actually harm someone.,Fortune Telling,4
588,"Though recently I’ve been hating social interaction and have felt completely numb in general. So I’m either aggressive, numb, or randomly anxious that I’m being too distant or too abrasive.",Overgeneralizing,2
589,GI symptoms have brought on full on panic attacks. Since my gallbladder was out back in March I have nothing but issues with food.,Overgeneralizing,2
590,I was so disapointed on this celebrity childhood idol of mine for changing her image.,Catastrophizing,10
591,"My boyfriend criticizes me all the time, especially in the last few months since he is going to his psychotherapist.",Overgeneralizing,2
592,i am confused on why he is still communicating with the girl knowing what i might feel.,Mind Reading,5
593,"My mum and dad portrayed the best family for me, never argued, always treated us right and we were happy. Until my mum and dad split up, I don’t know all the details, I was 7 at the time.",All-or-Nothing Thinking,1
594,"My #1 problem right now is I seem to have a huge,massive, paralyzing fear of the mail & bills.",Catastrophizing,10
595,"Every time my boyfriend and I talk his son will interrupt the conversation with ANYHING rediculous, with any random question, saying its important. He needs it answered now! or will do anything to interrupt!",Overgeneralizing,2
596,Its like sitting on a time bomb and trying to get it to explode.,Catastrophizing,10
597,"I don’t have much emotion over anything and don’t care for rules or laws, my behaviour can switch from calm to aggressive in a split second and I’m not sure why.",Overgeneralizing,2
598,"She always stares very intensely at other people and never says anything. She stands very uncomfortably close to other coworkers, behind them, next to them, etc., and never says anything, just stares and listens.",Overgeneralizing,2
599,I lack empathy and I don’t have very many close relationships and I really don’t want any.,Overgeneralizing,2
600,and I have no motive or energy to study all I do is sleep.and I hate going outside I hate seeing people.and whenever I start study I get negative feelings and I give up.,Catastrophizing,10
601,No wonder I struggle with fears of abandonment. Everyone I’ve ever cared for has gone one way or another.,Overgeneralizing,2
602,I feel silly to grieve someone i hardly knew and spoke maybe 3 words to the entire time I knew him.,Labeling,3
603,"I would either have bad dreams or suddenly bad thoughts come into my mind. The bad dreams that I’ve been having mostly about being chased, getting stuck or confronting something that makes me feel helpless and after that, I would wake up breathing heavily and panting.",Catastrophizing,10
604,"All of it seems super calculated and ritualized in great detail.  And another thing is that she’s extremely proud and distrustful of doctors so I’m afraid that if I try to get her to see one, she’ll break up with me.",Mind Reading,5
605,I know on he inside he is a good person.,Labeling,3
606,I am an educator and have serious issues with the fact that I can not control my own brain.,Catastrophizing,10
607,"Let me start by saying that my husband is a great guy, but I believe he is a very selfish person which I think may lead him into getting mad about things so easily.",Labeling,3
608,have always been controlled by my parents and they feel like their own opinion is the only and right one.,Mind Reading,5
609,My lack of intimacy is probably a direct result of my disinterest with socializing with people.,Overgeneralizing,2
610,"On one hand, I’m sad and guilty because of my impolite talking and nagging; on the other hand, I believe that person is the one that made me mad and he/she deserved my rude words.",Personalizing,8
611,But This happens too much and my son should not be treated this way.,Should Statements,7
612,"Then, we started talking about my past (I’ve been depressed since adolescence, went to therapy then, even spent some time in the hospital), and she tried to go through all of my history, but I was still so anxious, that I could barely talk to her, and she didn’t even try to calm me down.",Catastrophizing,10
613,"Hello, I am a 17 years old teenager, since I was a little girl I’ve always been fragile and sensitive, and by that I mean extremely sensitive, and I cry for everything and nothing, I cry over ridiculous things and for the stupidest reasons and it seems like I can’t do anything about it, at first I thought just because I was a kid, kids cry a lot, and it will disappear eventually when I grow up, but it never went away, it grew up with me, that resulted me having social anxiety, I don’t like to talk or interact with others, because I constantly have the feeling that they would judge me and that they won’t like me, and I always have the fear of their judgement if they ever saw me crying for no reason, I also avoid social interactions because I’m afraid I would get myself in a situation where I would cry, it’s so easy to get me to cry, all it takes is few hurtful words, or seeing another person crying and I will instantly cry even if I don’t know who is that person, and generally my reaction to anything or any emotion is crying, when I am angry I cry, when I am happy I cry, when I am scared I cry…",Catastrophizing,10
614,"I was hearing voices, thousands times a day I would hear different statements, and I finally could not take it.",Overgeneralizing,2
615,My boyfriend has no trust for me due to past relationships.,Overgeneralizing,2
616,"I’m aware that I’m a very shy person, and should work on my confident issues.  I’m scared to talk to my mom about it because I don’t want her to think that I’m being dramatic.",Should Statements,7
617,"She lives in Egypt and me here in LA, and still I feel her energy all the time.",Catastrophizing,10
618,This onerous task gives me terrible anxiety.,Disqualifying the Positive,9
619,"Ever since that realization, I cannot stop thinking about it and it’s ruining my life.",Catastrophizing,10
620,Her boyfriend has never liked me. He never says anything positive.,Overgeneralizing,2
621,It seems like for the last couple of years (or somewhere around that margin) I’ve been having problems with just letting things go or mentally getting over something.,Disqualifying the Positive,9
622,"Based on how I am, my lifestyle, my WELL known personal abilities to manipulate and influence, along with my absolute lack of empathy (unless it’s something that affects me directly), and of course that I am very smart and conscious of my decisions.",Labeling,3
623,"at the age of nine I experienced scabies with my family. it was isolating and traumatic, and left me with mild but long-lasting and persistent ptsd symptoms.",Catastrophizing,10
624,"My father is a narcissistic, closed minded, very angry and play the victim role.  My mom is playing the victim role too and she’s too sensitive,pessimistic and lonely.",Labeling,3
625,In fact I hate appearing needy. I’m too different I feel like I have nothing in common with them.,Emotional Reasoning,6
626,"My patience is wearing thin and I’m just dying to have the experience with a girl in real life, it seems to be so easy for males much younger than me, and I feel it a consequence of shyness that doesn’t seem to be wearing off any time soon.",Personalizing,8
627,"I have an adult son who treats me poorly, has been physically and psychologically abusive since he was a teenager, have 3 grandchildren but only see one of them now.",Disqualifying the Positive,9
628,"I’m worried I may have some kind of repressed memories, which I know isn’t unusual, but there is something off and I am unable to pinpoint why I am having these issues.",Overgeneralizing,2
629,I just don’t know how to do this and it is consuming my life and starting to drive me crazy!!,Catastrophizing,10
630,"If I win something, I feel nothing, same thing with losing, watching movies, jump scares, death, surprises, birthdays, or anything else a normal person would react to.",Should Statements,7
631,"im unable to freely talk to people as I feel shy communicating, I feel I’ll be judged (either for my eng grammar or petty /less aware knowledge)",Mind Reading,5
632,"i have no energy and i kinda just sit and sulk all day, i also deal with bipolar, extremely bad panic attacks multiple times a day, and body dysmorphia.",Disqualifying the Positive,9
633,"I got it in my head that this is the one thing you are good at, don’t ever lose or let them see you fail.",All-or-Nothing Thinking,1
634,"I feel like I need a mental disorder, it’s like I’ll die without one, I don’t even know why, and I won’t admit that it’s for attention because I’m younger and that’s what younger people do",Catastrophizing,10
635,"My biggest problems at the moment are self-diagnosed Pure OCD as well as the effects of growing up with emotionally and physically abusive parents, who i’m still stuck living with (not to mention bullying at school). with the OCD, I’ve cycled through several obsessions which made me deeply depressed and suicidal, managed to get over cancer fears, paraphilia fears, schizophrenia fears, existential fears, etc.",Disqualifying the Positive,9
636,"I am so depressed and have tried many Meds, IOP, and therapies with little to or no relief. I don’t know what to do or where to go next.",Catastrophizing,10
637,I’ve recently tried opening up but I’m not sure if it was a good choice or not I wonder if the reason I stopped talking was because i didn’t want to continue or because i genuinely felt like a bother.,Personalizing,8
638,I know this can run in families so I’m concerned that I might be showing symptoms.,Overgeneralizing,2
639,"I can’t talk to my family because they won’t understand and they never listen regardless of how important it is and my friends, well they give me the same advice “it’s going to be okay” which I no longer find comforting anymore.",Overgeneralizing,2
640,"I have friends who emotionally depend on me but I can’t, I simply cannot, feel sympathy or empathy. I cannot commit to anything, I’m not passionate about anything except painting, but it doesn’t feel like passion.",Overgeneralizing,2
641,She is very spoiled and has a horrible attitude.,Labeling,3
642,"I have this weird feeling almost everyday now and it starts to interfere with my daily life: I start to see things weirdly, being overly paranoid about things. Especially after I’m waking up, the feeling is totally intense it totally scares me badly.",Catastrophizing,10
643,I spent 6 months away from everyone and I got into a real depression because I had just graduated and I felt I needed to get a job and start a new life.,Should Statements,7
644,"I think I’m severely depressed because I’ve been so disconnected lately. I’ve been growing more and more anti-social, I’m suddenly losing sleep and becoming more irriatable even if I try hard to be nice.  Can you tell me how the heck I’m supposed to tell my parents when I can’t stop thinking that they’ll only make fun of me and not believe me?",Catastrophizing,10
645,"even though I don’t listen to him, I still feel as though I am stalked. I cover my phone’s camera in fear someone is watching me. I have to look behind the bathroom curtain to make sure someone isn’t there.",Emotional Reasoning,6
646,I’ve lived with my aunt for over 6 years and the past 4 have been hell she yells at me constantly and sometimes hits me.,Overgeneralizing,2
647,I’ve begun reading a lot of books about narcissist but I know its not good to diagnose her using these books.,Should Statements,7
648,I feel like I shouldn’t have the attention.,Should Statements,7
649,"I used to be a really nice, caring, understanding kid. Now I’m impatient and & rude.",Labeling,3
650,And has she learned by kicking me out that all she needs to do is make enough noise and she can get what she wants?,Overgeneralizing,2
651,It seems from day one my husband has put his mother’s feelings ahead of mine.  I can’t forget it and it keeps coming up all the time.,Overgeneralizing,2
652,"I have not told anyone so far as they may laugh at me (which i would also do), i am not sure if this is something normal or if this is something i should worry about as it may lead on to much worse thing but currently i do not believe that i will complete or act out these thoughts as it is illegal and against my religion but who knows something might click and even that may not stop me.",Fortune Telling,4
653,"I’ve been having delusions for a long time that people can read my thoughts, and there are cameras everywhere watching me, and that everyone on the street is reporting on me.",Mind Reading,5
654,I don’t know what to do because if I call the police he’ll get arrested and his future will be destroyed.,Fortune Telling,4
655,A year later we moved in together and my boys could nothing right in his eyes.,Mind Reading,5
656,"I do everything alone – from going to school to sitting in the cafeteria, to spending my weekends.",Overgeneralizing,2
657,"I assume people are thinking negative of me and won’t like me, therefore I may come off really distant and very difficult to get to know.   But overall, I felt hopeless like things for me weren’t ever going to change.",Mind Reading,5
658,"Now I’m stuck, I feel like a part of me is gone and I don’t belong anywhere,I feel like I want to go somewhere but don’t know where.",Disqualifying the Positive,9
659,"Logically, things i enjoy should make me happy, like watching tv shows, reading or listening to music for instance.",Should Statements,7
660,"He texts other women in my house, he barely talks to me, and he makes me feel unappreciated in every way.",Overgeneralizing,2
661,"At an early age, I’ve always disliked people my own age.",Overgeneralizing,2
662,Then I woke up the next day and was so anxious I couldnt think straight. I didnt feel like “me” anymore like I was walking around in a fog.,Catastrophizing,10
